poco,cadastro,operador,poco_operador,estado,bacia,bloco,sig_campo,campo,terra_mar,poco_pos_anp,tipo,categoria,reclassificacao,situacao,inicio,termino,conclusao,latitude_base_4c,longitude_base_4c,latitude_base_dd,longitude_base_dd,datum_horizontal,tipo_de_coordenada_de_base,direcao,profundidade_vertical_m,profundidade_sondador_m,profundidade_medida_m,referencia_de_profundidade,mesa_rotativa,cota_altimetrica_m,lamina_d_agua_m,datum_vertical,unidade_estratigrafica,geologia_grupo_final,geologia_formacao_final,geologia_membro_final,cdpe,agp,pc,pag,perfis_convencionais,durante_perfuracao,perfis_digitais,perfis_processados,perfis_especiais,amostra_lateral,sismica,tabela_tempo_profundidade,dados_direcionais,teste_a_cabo,teste_de_formacao,canhoneio,testemunho,geoquimica,sig_sonda,nom_sonda,atingiu_presal,dha_atualizacao
7-RIP-3-ES,34270029651,Imetame,7-TAL-1-ES,ES,Espírito Santo,,RIP  ,RIO IPIRANGA,T,S,7,Desenvolvimento,ABANDONADO POR OUTRAS RAZÕES,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,28/11/2020,02/02/2021,02/02/2021,"-19:19:38,922","-39:45:35,178","-19,3274783333","-39,7597716666",SIRGAS2000,Definitiva,Vertical,"1948,56",1955,1955,MR,"6,44","1,44",0.0,NM,,Barra Nova,São Mateus,,Existe,,,,,,,,,,,,,,,,,,IME-01,IMETAME_ENERGIA_01,I,01/01/2023
7-MRO-6DB-RJS,74316029648,Petrobras,7MRO6DBRJS,RJ,Santos,LIBRA,MRO  ,MERO,M,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,PRODUZINDO,18/11/2020,23/01/2021,23/02/2021,"-24:34:45,271","-42:14:13,305","-24,5792419444","-42,2370291666",SIRGAS2000,Definitiva,Direcional,"-5656,8",5682,5687,MR,25,0,1957.0,NM,,Guaratiba,Itapema,,Existe,,,,Existe,Existe,,Existe,,,,,Existe,,,,,,NS-47,West Tellus,S,01/01/2023
7-TIE-3D-BA,20240029657,Maha Energy,7TIE3DBA,BA,Recôncavo,,TIE  ,TIÊ,T,S,7,Desenvolvimento,INDEFINIDO,ABANDONADO PERMANENTEMENTE,07/12/2020,28/12/2020,28/03/2021,"-12:21:43,709","-38:16:44,677","-12,3621413888","-38,2790769444",SIRGAS2000,Definitiva,Direcional,"544,56",632,632,MR,"87,39","79,54",0.0,NM,,Brotas,Sergi,,Existe,,,,,,,,,,,,,,,,,,FV-2,FAXE-2,I,01/01/2023
8-MRO-11-RJS,74316029670,Petrobras,8MRO11RJS,RJ,Santos,,MRO  ,MERO,M,S,8,Injeção,INJEÇÃO DE ÁGUA,EQUIPADO AGUARDANDO INÍCIO DE OPERAÇÃO,23/02/2021,25/03/2021,10/04/2021,"-24:35:52,267","-42:12:08,711","-24,5978519444","-42,2024197222",SIRGAS2000,Definitiva,Vertical,"-5614,2",5634,5640,MR,25,0,2004.0,NM,,Guaratiba,Itapema,,Existe,,,,Existe,Existe,,Existe,,,,,Existe,Existe,,,,,NS-39,Deepwater Myconos,S,01/01/2023
8-JUB-59D-ESS,34281029662,Petrobras,8JUB59DESS,ES,Campos,,JUB  ,JUBARTE,M,S,8,Injeção,INJEÇÃO DE ÁGUA,ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO,03/01/2021,25/04/2021,05/05/2021,"-21:13:01,772","-39:58:57,404","-21,2171588888","-39,9826122222",SIRGAS2000,Definitiva,Direcional,4905,4990,4990,MR,26,0,1429.0,NM,,Lagoa Feia,Coqueiros,,Existe,,,,Existe,Existe,,Existe,,,Existe,,Existe,Existe,,,,,NS-29,CAROLINA,S,01/01/2023
7-PRG-71HPA-RJS,74281029656,Equinor Brasil,BMC7B13AT2,RJ,Campos,,PRG  ,PEREGRINO,M,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,PRODUZINDO,18/12/2020,06/01/2020,17/01/2021,"-23:17:45,671","-41:12:28,358","-23,2960197222","-41,2078772222",SIRGAS2000,Definitiva,Horizontal,-2249,5404,5404,MR,50,0,122.0,NM,,Campos,Carapebus,,Existe,,,,,Existe,,Existe,,,,,Existe,,,,,,DR-B,DRILLINGRIG-B,N,01/01/2023
1-EMEB-1-RJS,74281029665,ExxonMobil Brasil,Opal-1,RJ,Campos,C-M-789,,,M,S,1,Pioneiro,,ABANDONADO PERMANENTEMENTE,25/01/2021,02/05/2021,02/06/2021,"-24:39:15,660","-40:53:44,006","-24,65435","-40,8955572222",SIRGAS2000,Definitiva,Vertical,3358,3383,3383,MR,25,,2678.0,NM,,,Cabiúnas,,Existe,,Existe,Existe,,Existe,,Existe,,,,,Existe,,,,,,WSA,West Saturn,S,01/01/2023
9-NESH-1-SPS,86316029703,Petrobras,9SPH26SPS,SP,Santos,,NESH ,NORDESTE DE SAPINHOÁ,M,S,9,Especial,OUTRAS FINALIDADES,EM OBSERVAÇÃO,17/06/2021,03/08/2021,29/09/2021,"-25:41:25,858","-43:06:29,948","-25,6905161111","-43,1083188888",SIRGAS2000,Definitiva,Vertical,"-5834,5",5863,5863,MR,28,0,2133.0,NM,,Guaratiba,Barra Velha,,Existe,,,,Existe,Existe,,Existe,,Existe,,,Existe,Existe,Existe,,,,SS-75,OCEAN COURAGE,S,01/01/2023
7-SDR-7-ES,34270029698,BGM,7-SDR-7-ES,ES,Espírito Santo,,SDR  ,SUINDARA,T,S,7,Desenvolvimento,INDEFINIDO,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,02/06/2021,14/06/2021,14/06/2021,"-19:11:45,800","-39:50:12,400","-19,1960555555","-39,8367777777",SIRGAS2000,Definitiva,Vertical,-871,882,882,MR,"10,6","4,6",0.0,NM,,Barra Nova,Regência,,Existe,,,Existe,Existe,,,,,,,Existe,,,,,,,CW-02,Cowan-02,I,01/01/2023
8-BUZ-56-RJS,74316029724,Petrobras,8-BUZ-56-RJS,RJ,Santos,,BUZ  ,BÚZIOS,M,S,8,Injeção,ABANDONADO POR OUTRAS RAZÕES,ABANDONADO PERMANENTEMENTE,04/09/2021,01/10/2021,18/10/2021,"-24:34:28,795","-42:34:27,265","-24,5746652777","-42,5742402777",SIRGAS2000,Definitiva,Vertical,"-3872,8",3905,3905,MR,25,0,1819.0,NM,,Guaratiba,Piçarras,,Existe,,,,,,,,,,,,,,,,,,NS-38,ETESCO TAKATSUGU J,S,01/01/2023
