bacia_sedimentar,código_do_poço_(api),nome_do_poço_(anp),tipo_de_fluido,profundidade_topo_(m),profundidade_base_(m),quantidade_de_amostra,tipo_de_container,volume_(l),data_de_conclusão_do_poço,município/estado,depositária
RECÔNCAVO TERRA,202400604200.0,7-MP-22-BA,ÓLEO,"2.662,00","2.723,00",1.0,Garrafa Vidro Âmbar,1,2004-02-08,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400604200.0,7-MP-22-BA,ÓLEO,"2.740,00","2.779,00",1.0,Garrafa Vidro Âmbar,1,2004-02-08,CATU/BA,PETROBRAS
SANTOS,743160020600.0,7-LL-2D-RJS,ÓLEO,"5.864,00","6.020,00",1.0,Garrafa Vidro Âmbar,1,2011-11-28,CATU/BA,PETROBRAS
SANTOS,743160023000.0,7-LL-8H-RJS,ÓLEO,"5.460,05","6.838,00",2.0,Garrafa Vidro Âmbar,1,2012-03-24,CATU/BA,PETROBRAS
SANTOS,743160025200.0,7-LL-11-RJS,ÓLEO,"4.877,00","4.975,00",4.0,Garrafa Vidro Âmbar,1,2012-05-06,CATU/BA,PETROBRAS
SANTOS,743160029100.0,7-LL-17D-RJS,ÓLEO,"5.197,00","5.253,00",4.0,Garrafa Vidro Âmbar,1,2012-11-21,CATU/BA,PETROBRAS
SANTOS,743160032500.0,7-LL-27-RJS,ÓLEO,"4.970,00","5.010,00",4.0,Garrafa Vidro Âmbar,1,2013-08-16,CATU/BA,PETROBRAS
SANTOS,743160034200.0,7-LL-28D-RJS,ÓLEO,"5.147,00","5.197,00",2.0,Garrafa Vidro Âmbar,1,2013-12-24,CATU/BA,PETROBRAS
SANTOS,743160036200.0,7-LL-34D-RJS,ÓLEO,"5.010,00","5.147,00",2.0,Garrafa Vidro Âmbar,1,2014-06-03,CATU/BA,PETROBRAS
SANTOS,743160036200.0,7-LL-34D-RJS,ÓLEO,"5.184,00","5.232,00",2.0,Garrafa Vidro Âmbar,1,2014-06-03,CATU/BA,PETROBRAS
SANTOS,743160036800.0,7-LL-36A-RJS,ÓLEO,"4.919,00","4.956,00",2.0,Garrafa Vidro Âmbar,1,2015-11-16,CATU/BA,PETROBRAS
SANTOS,743160036800.0,7-LL-36A-RJS,ÓLEO,"4.971,00","5.046,00",4.0,Garrafa Vidro Âmbar,1,2015-11-16,CATU/BA,PETROBRAS
SANTOS,743160040100.0,7-LL-53D-RJS,ÓLEO,"5.233,00","5.324,00",2.0,Garrafa Vidro Âmbar,1,2015-02-08,CATU/BA,PETROBRAS
SANTOS,743160040100.0,7-LL-53D-RJS,ÓLEO,"5.376,00","5.510,00",2.0,Garrafa Vidro Âmbar,1,2015-02-08,CATU/BA,PETROBRAS
SANTOS,743160042500.0,7-LL-60D-RJS,ÓLEO,"5.112,00","5.300,00",2.0,Garrafa Vidro Âmbar,1,2015-05-10,CATU/BA,PETROBRAS
SANTOS,743160043900.0,7-LL-69-RJS,ÓLEO,"4.737,00","4.763,00",2.0,Garrafa Vidro Âmbar,1,2016-02-24,CATU/BA,PETROBRAS
SANTOS,743160043900.0,7-LL-69-RJS,ÓLEO,"5.024,00","5.093,00",2.0,Garrafa Vidro Âmbar,1,2016-02-24,CATU/BA,PETROBRAS
SANTOS,743160048500.0,7-LL-70-RJS,ÓLEO,"4.893,00","5.021,00",2.0,Garrafa Vidro Âmbar,1,2016-07-17,CATU/BA,PETROBRAS
SANTOS,863160008000.0,7-MXL-7HP-SPS,ÓLEO,"5.034,00","6.037,00",2.0,Garrafa Vidro Âmbar,1,2007-11-26,CATU/BA,PETROBRAS
SANTOS,863160010600.0,7-MXL-9HP-SPS,CONDENSADO,"5.155,00","6.240,00",2.0,Garrafa Vidro Âmbar,1,2009-03-09,CATU/BA,PETROBRAS
SANTOS,863160014900.0,7-MXL-13H-SPS,CONDENSADO,"5.025,00","6.025,00",2.0,Garrafa Vidro Âmbar,1,2010-02-14,CATU/BA,PETROBRAS
SOLIMÕES,140200066500.0,7-LUC-22DP-AM,ÓLEO,"2.534,00","2.536,00",2.0,Garrafa Vidro Âmbar,1,1993-08-25,CATU/BA,PETROBRAS
SOLIMÕES,140200079200.0,7-LUC-78DP-AM,ÓLEO,"2.627,00","2.629,00",2.0,Garrafa Vidro Âmbar,1,2009-04-03,CATU/BA,PETROBRAS
SOLIMÕES,140200079900.0,7-LUC-59HP-AM,ÓLEO,"2.751,18","3.720,38",2.0,Garrafa Vidro Âmbar,1,2009-05-13,CATU/BA,PETROBRAS
SOLIMÕES,140200086000.0,7-LUC-80DP-AM,ÁGUA,"2.708,00","2.712,00",1.0,Garrafa Vidro Âmbar,1,2012-07-16,CATU/BA,PETROBRAS
SOLIMÕES,140200086000.0,7-LUC-80DP-AM,ÓLEO,"2.708,00","2.712,00",2.0,Garrafa Vidro Âmbar,1,2012-07-16,CATU/BA,PETROBRAS
SOLIMÕES,140200090800.0,7-LUC-86HP-AM,ÓLEO,"0,00","0,00",4.0,Garrafa Vidro Âmbar,1,2014-06-05,CATU/BA,PETROBRAS
SOLIMÕES,140200091500.0,7-LUC-90HP-AM,ÓLEO,"2.692,20","3.489,96",2.0,Garrafa Vidro Âmbar,1,2014-10-05,CATU/BA,PETROBRAS
CAMPOS MAR,742810236600.0,7-RO-8-RJS,ÓLEO,"3.325,00","3.363,00",2.0,Garrafa Vidro Âmbar,1,1999-10-30,CATU/BA,PETROBRAS
CAMPOS MAR,742810252300.0,7-RO-24D-RJS,ÓLEO,"3.573,00","3.651,00",3.0,Garrafa Vidro Âmbar,1,2001-02-19,CATU/BA,PETROBRAS
CAMPOS MAR,742810253700.0,7-RO-25D-RJS,ÓLEO,"3.330,00","3.360,00",2.0,Garrafa Vidro Âmbar,1,2001-03-23,CATU/BA,PETROBRAS
CAMPOS MAR,742810253700.0,7-RO-25D-RJS,ÓLEO,"3.403,50","3.412,00",2.0,Garrafa Vidro Âmbar,1,2001-03-23,CATU/BA,PETROBRAS
CAMPOS MAR,742810253700.0,7-RO-25D-RJS,ÓLEO,"3.432,00","3.471,00",2.0,Garrafa Vidro Âmbar,1,2001-03-23,CATU/BA,PETROBRAS
CAMPOS MAR,742810269700.0,7-RO-34D-RJS,ÓLEO,"3.584,00","3.698,00",2.0,Garrafa Vidro Âmbar,1,2002-09-02,CATU/BA,PETROBRAS
CAMPOS MAR,742810278400.0,7-RO-41D-RJS,ÓLEO,"3.300,00","3.384,00",2.0,Garrafa Vidro Âmbar,1,2003-02-09,CATU/BA,PETROBRAS
CAMPOS MAR,742810278400.0,7-RO-41D-RJS,ÓLEO,"3.351,00","3.396,00",2.0,Garrafa Vidro Âmbar,1,2003-02-09,CATU/BA,PETROBRAS
CAMPOS MAR,742810278400.0,7-RO-41D-RJS,ÓLEO,"3.413,00","3.447,00",2.0,Garrafa Vidro Âmbar,1,2003-02-09,CATU/BA,PETROBRAS
CAMPOS MAR,742810282200.0,7-RO-44HP-RJS,ÓLEO,"3.624,00","4.374,00",1.0,Garrafa Vidro Âmbar,1,2004-02-12,CATU/BA,PETROBRAS
CAMPOS MAR,742810285100.0,7-RO-40-RJS,ÓLEO,"3.218,50","3.240,00",2.0,Garrafa Vidro Âmbar,1,2003-07-17,CATU/BA,PETROBRAS
CAMPOS MAR,742810285100.0,7-RO-40-RJS,ÓLEO,"3.271,00","3.278,00",2.0,Garrafa Vidro Âmbar,1,2003-07-17,CATU/BA,PETROBRAS
