bacia_sedimentar,código_do_poço_(api),nome_do_poço_(anp),tipo_de_fluido,profundidade_topo_(m),profundidade_base_(m),quantidade_de_amostra,tipo_de_container,volume_(l),data_de_conclusão_do_poço,município/estado,depositária
CAMPOS MAR,742810333000.0,7-CG-8HP-RJS,ÓLEO,"2.337,40","5.313,00",2.0,Garrafa Vidro Âmbar,1,2008-05-16,CATU/BA,PETROBRAS
CAMPOS MAR,742810336300.0,7-CRT-45HP-RJS,ÓLEO,"2.956,00","3.617,50",2.0,Garrafa Vidro Âmbar,1,2008-07-01,CATU/BA,PETROBRAS
CAMPOS MAR,742810355100.0,7-BR-73HP-RJS,ÓLEO,"3.006,00","3.724,00",4.0,Garrafa Vidro Âmbar,1,2010-10-30,CATU/BA,PETROBRAS
CAMPOS MAR,742810361100.0,7-BR-80HP-RJS,ÓLEO,"3.001,00","3.532,00",3.0,Garrafa Vidro Âmbar,1,2011-07-09,CATU/BA,PETROBRAS
CAMPOS MAR,742810378200.0,7-CRT-49-RJS,ÓLEO,"4.340,00","4.370,00",2.0,Garrafa Vidro Âmbar,1,2014-01-04,CATU/BA,PETROBRAS
CAMPOS MAR,742810389200.0,7-BR-69D-RJS,ÓLEO,"4.416,00","4.452,00",2.0,Garrafa Vidro Âmbar,1,2014-11-22,CATU/BA,PETROBRAS
CAMPOS MAR,742810390200.0,7-BR-69DA-RJS,ÓLEO,"4.416,00","4.452,00",2.0,Garrafa Vidro Âmbar,1,2015-02-22,CATU/BA,PETROBRAS
ESPÍRITO SANTO MAR,342710145800.0,7-CMR-1H-ESS,CONDENSADO,"3.738,00","4.881,00",2.0,Garrafa Vidro Âmbar,1,2008-11-16,CATU/BA,PETROBRAS
ESPÍRITO SANTO MAR,342710155100.0,7-CMN-4HPA-ESS,ÓLEO,"3.730,00","4.225,00",2.0,Garrafa Vidro Âmbar,1,2009-05-08,CATU/BA,PETROBRAS
ESPÍRITO SANTO MAR,342710156500.0,7-CMN-2H-ESS,ÓLEO,"2.605,00","4.814,00",2.0,Garrafa Vidro Âmbar,1,2009-07-07,CATU/BA,PETROBRAS
ESPÍRITO SANTO TERRA,342700153600.0,7-CNC-1-ES,ÓLEO,"779,00","918,00",2.0,Garrafa Vidro Âmbar,1,2008-12-26,CATU/BA,PETROBRAS
ESPÍRITO SANTO TERRA,342700188200.0,7-CNC-21-ES,ÓLEO,"712,00","720,00",2.0,Garrafa Vidro Âmbar,1,2012-09-24,CATU/BA,PETROBRAS
POTIGUAR TERRA,721000562300.0,7-BVS-47-RN,ÓLEO,"1.158,00","1.252,50",2.0,Garrafa Vidro Âmbar,1,2000-01-28,CATU/BA,PETROBRAS
POTIGUAR TERRA,721000645200.0,7-CAM-920-RN,ÓLEO,"1.334,00","1.527,50",2.0,Garrafa Vidro Âmbar,1,2004-07-23,CATU/BA,PETROBRAS
POTIGUAR TERRA,721000734700.0,7-CAM-1015-RN,ÓLEO,"746,00","752,50",2.0,Garrafa Vidro Âmbar,1,2008-04-18,CATU/BA,PETROBRAS
POTIGUAR TERRA,721000737400.0,7-BVS-64-RN,ÓLEO,"842,50","1.258,50",2.0,Garrafa Vidro Âmbar,1,2008-05-30,CATU/BA,PETROBRAS
POTIGUAR TERRA,721000825800.0,7-CAM-1113D-RN,ÓLEO,"930,50","932,00",2.0,Garrafa Vidro Âmbar,1,2010-11-16,CATU/BA,PETROBRAS
POTIGUAR TERRA,721000851400.0,7-CAM-1372D-RN,ÓLEO,"581,00","586,00",2.0,Garrafa Vidro Âmbar,1,2012-07-22,CATU/BA,PETROBRAS
POTIGUAR TERRA,721000965600.0,7-CAM-1524-RN,ÓLEO,"638,00","640,00",2.0,Garrafa Vidro Âmbar,1,2017-09-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400597300.0,7-CER-17-BA,ÓLEO,"1.001,50","1.006,00",1.0,Garrafa Vidro Âmbar,1,2002-03-30,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400694500.0,7-BA-455D-BA,ÓLEO,"728,20","728,20",2.0,Garrafa Vidro Âmbar,1,2014-05-10,CATU/BA,PETROBRAS
SANTOS,743160039300.0,7-BUZ-6-RJS,ÓLEO,"5.591,00","5.757,00",2.0,Garrafa Vidro Âmbar,1,2015-03-13,CATU/BA,PETROBRAS
SERGIPE TERRA,901200523000.0,7-CP-1938-SE,ÁGUA CORTADA POR LAMA,"717,00","747,00",1.0,Garrafa Vidro Âmbar,1,2013-01-19,CATU/BA,PETROBRAS
SERGIPE TERRA,901200544100.0,7-CP-1952-SE,ÓLEO,"599,00","629,00",7.0,Garrafa Vidro Âmbar,1,2015-02-27,CATU/BA,PETROBRAS
SERGIPE TERRA,901200544100.0,7-CP-1952-SE,ÓLEO,"707,00","737,00",1.0,Garrafa Vidro Âmbar,1,2015-02-27,CATU/BA,PETROBRAS
SERGIPE TERRA,901200545400.0,7-CP-1963-SE,ÓLEO,"591,00","621,00",5.0,Garrafa Vidro Âmbar,1,2015-05-04,CATU/BA,PETROBRAS
SERGIPE TERRA,901200545400.0,7-CP-1963-SE,ÓLEO,"621,00","651,00",2.0,Garrafa Vidro Âmbar,1,2015-05-04,CATU/BA,PETROBRAS
SERGIPE TERRA,901200547600.0,7-CP-1947D-SE,ÓLEO,"681,00","711,00",8.0,Garrafa Vidro Âmbar,1,2015-06-30,CATU/BA,PETROBRAS
SERGIPE TERRA,901200547600.0,7-CP-1947D-SE,ÓLEO,"711,00","741,00",7.0,Garrafa Vidro Âmbar,1,2015-06-30,CATU/BA,PETROBRAS
SERGIPE TERRA,901200548100.0,7-CP-1964D-SE,ÓLEO,"617,00","647,00",6.0,Garrafa Vidro Âmbar,1,2015-09-08,CATU/BA,PETROBRAS
SERGIPE TERRA,901200548500.0,7-CP-1965D-SE,NAO IDENTIFICADO,"563,00","593,00",1.0,Garrafa Vidro Âmbar,1,2015-10-21,CATU/BA,PETROBRAS
SERGIPE TERRA,901200548500.0,7-CP-1965D-SE,ÓLEO,"663,00","693,00",5.0,Garrafa Vidro Âmbar,1,2015-10-21,CATU/BA,PETROBRAS
SERGIPE TERRA,901200548500.0,7-CP-1965D-SE,ÓLEO,"734,00","764,00",3.0,Garrafa Vidro Âmbar,1,2015-10-21,CATU/BA,PETROBRAS
POTIGUAR TERRA,721000580300.0,7-FCN-6-RN,ÓLEO,"810,00","1.276,00",2.0,Garrafa Vidro Âmbar,1,2001-02-03,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400652800.0,7-FP-51DP-BA,ÓLEO,"1.202,00","1.209,00",1.0,Garrafa Vidro Âmbar,1,2010-06-24,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400652800.0,7-FP-51DP-BA,ÓLEO,"1.221,00","1.238,00",1.0,Garrafa Vidro Âmbar,1,2010-06-24,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400652800.0,7-FP-51DP-BA,ÓLEO,"1.248,00","1.251,00",1.0,Garrafa Vidro Âmbar,1,2010-06-24,CATU/BA,PETROBRAS
CAMPOS MAR,342810124300.0,7-JUB-2HPA-ESS,ÓLEO,"3.225,00","4.175,00",2.0,Garrafa Vidro Âmbar,1,2005-09-26,CATU/BA,PETROBRAS
CAMPOS MAR,342810163700.0,7-JUB-9HP-ESS,ÓLEO,"3.311,00","4.480,00",2.0,Garrafa Vidro Âmbar,1,2010-04-17,CATU/BA,PETROBRAS
CAMPOS MAR,342810179100.0,7-JUB-34H-ESS,ÓLEO,"4.349,00","4.527,00",2.0,Garrafa Vidro Âmbar,1,2012-08-10,CATU/BA,PETROBRAS
CAMPOS MAR,342810179300.0,7-PRB-1-ESS,ÓLEO,"4.500,00","4.568,00",4.0,Garrafa Vidro Âmbar,1,2011-11-05,CATU/BA,PETROBRAS
CAMPOS MAR,342810188500.0,7-JUB-36-ESS,ÓLEO,"4.545,00","4.698,00",2.0,Garrafa Vidro Âmbar,1,2013-06-03,CATU/BA,PETROBRAS
CAMPOS MAR,342810194900.0,7-JUB-45-ESS,ÓLEO,"4.402,00","4.595,00",2.0,Garrafa Vidro Âmbar,1,2014-12-19,CATU/BA,PETROBRAS
CAMPOS MAR,342810197700.0,7-JUB-55-ESS,ÓLEO,"4.475,00","4.568,00",2.0,Garrafa Vidro Âmbar,1,2014-05-21,CATU/BA,PETROBRAS
CAMPOS MAR,342810199300.0,7-JUB-57DPA-ESS,ÓLEO,"4.393,00","4.622,00",6.0,Garrafa Vidro Âmbar,1,2014-05-12,CATU/BA,PETROBRAS
CAMPOS MAR,342810205400.0,7-JUB-58DPA-ESS,ÓLEO,"4.446,00","4.602,00",2.0,Garrafa Vidro Âmbar,1,2015-03-29,CATU/BA,PETROBRAS
CAMPOS MAR,742810249000.0,7-MRL-136HP-RJS,ÓLEO,"3.180,00","3.377,00",2.0,Garrafa Vidro Âmbar,1,2000-11-21,CATU/BA,PETROBRAS
CAMPOS MAR,742810269300.0,7-MLS-59HP-RJS,ÓLEO,"2.812,00","3.445,00",1.0,Garrafa Vidro Âmbar,1,2002-07-31,CATU/BA,PETROBRAS
CAMPOS MAR,742810282900.0,7-MLS-45HP-RJS,ÓLEO,"3.186,00","3.987,00",2.0,Garrafa Vidro Âmbar,1,2003-08-29,CATU/BA,PETROBRAS
CAMPOS MAR,742810287900.0,7-MLS-53HA-RJS,ÓLEO,"2.391,00","2.415,00",2.0,Garrafa Vidro Âmbar,1,2003-10-21,CATU/BA,PETROBRAS
CAMPOS MAR,742810288800.0,7-MLS-51HP-RJS,ÓLEO,"2.930,00","3.509,00",2.0,Garrafa Vidro Âmbar,1,2003-11-07,CATU/BA,PETROBRAS
CAMPOS MAR,742810290100.0,7-MLL-10HP-RJS,ÓLEO,"2.907,00","3.525,00",2.0,Garrafa Vidro Âmbar,1,2007-12-17,CATU/BA,PETROBRAS
CAMPOS MAR,742810292200.0,7-MLS-73HPA-RJS,ÓLEO,"2.996,00","3.659,00",2.0,Garrafa Vidro Âmbar,1,2004-01-21,CATU/BA,PETROBRAS
CAMPOS MAR,742810293100.0,7-MLS-69HP-RJS,ÓLEO,"2.814,70","3.810,00",2.0,Garrafa Vidro Âmbar,1,2004-03-27,CATU/BA,PETROBRAS
CAMPOS MAR,742810295300.0,7-MLS-107H-RJS,ÓLEO,"3.134,00","3.935,00",1.0,Garrafa Vidro Âmbar,1,2004-05-27,CATU/BA,PETROBRAS
CAMPOS MAR,742810306500.0,7-MLS-135HP-RJS,ÓLEO,"3.412,00","3.860,00",2.0,Garrafa Vidro Âmbar,1,2005-03-29,CATU/BA,PETROBRAS
CAMPOS MAR,742810311000.0,7-MLS-131H-RJS,ÓLEO,"3.207,00","3.590,00",2.0,Garrafa Vidro Âmbar,1,2005-10-08,CATU/BA,PETROBRAS
CAMPOS MAR,742810315800.0,7-MLH-5HP-RJS,ÓLEO,"3.002,00","3.264,00",1.0,Garrafa Vidro Âmbar,1,2006-04-28,CATU/BA,PETROBRAS
CAMPOS MAR,742810321600.0,7-MLL-30HP-RJS,ÓLEO,"2.984,00","3.675,00",2.0,Garrafa Vidro Âmbar,1,2006-12-09,CATU/BA,PETROBRAS
CAMPOS MAR,742810325200.0,7-MLL-28HP-RJS,ÓLEO,"3.007,00","3.761,00",2.0,Garrafa Vidro Âmbar,1,2007-04-09,CATU/BA,PETROBRAS
CAMPOS MAR,742810326400.0,7-MRL-185HPA-RJS,ÓLEO,"2.977,00","3.375,00",2.0,Garrafa Vidro Âmbar,1,2007-05-21,CATU/BA,PETROBRAS
CAMPOS MAR,742810327000.0,7-MLS-95H-RJS,ÓLEO,"3.076,00","3.690,00",2.0,Garrafa Vidro Âmbar,1,2008-01-14,CATU/BA,PETROBRAS
CAMPOS MAR,742810329200.0,7-MLL-32HP-RJS,ÓLEO,"3.092,93","3.375,00",2.0,Garrafa Vidro Âmbar,1,2007-08-31,CATU/BA,PETROBRAS
CAMPOS MAR,742810329700.0,7-MLS-99HP-RJS,ÓLEO,"3.387,47","3.950,00",2.0,Garrafa Vidro Âmbar,1,2009-02-27,CATU/BA,PETROBRAS
CAMPOS MAR,742810332000.0,7-MLS-111HP-RJS,ÓLEO,"2.983,00","3.554,00",2.0,Garrafa Vidro Âmbar,1,2007-12-23,CATU/BA,PETROBRAS
CAMPOS MAR,742810333800.0,7-MLL-40HP-RJS,ÓLEO,"3.270,00","4.019,00",2.0,Garrafa Vidro Âmbar,1,2008-06-06,CATU/BA,PETROBRAS
CAMPOS MAR,742810334700.0,7-MLL-54HP-RJS,ÓLEO,"4.102,00","5.688,00",1.0,Garrafa Vidro Âmbar,1,2008-09-09,CATU/BA,PETROBRAS
CAMPOS MAR,742810335000.0,7-MLS-115HP-RJS,ÓLEO,"3.077,00","3.970,00",2.0,Garrafa Vidro Âmbar,1,2008-05-20,CATU/BA,PETROBRAS
CAMPOS MAR,742810343300.0,7-MLS-97HP-RJS,ÓLEO,"3.128,00","3.551,00",2.0,Garrafa Vidro Âmbar,1,2009-05-12,CATU/BA,PETROBRAS
CAMPOS MAR,742810343600.0,7-MLS-117HP-RJS,ÓLEO,"2.222,53","2.333,00",2.0,Garrafa Vidro Âmbar,1,2009-06-05,CATU/BA,PETROBRAS
CAMPOS MAR,742810344800.0,7-MLL-56HP-RJS,ÓLEO,"4.187,00","5.688,00",2.0,Garrafa Vidro Âmbar,1,2009-09-05,CATU/BA,PETROBRAS
CAMPOS MAR,742810345300.0,7-MLS-63HPA-RJS,ÓLEO,"2.222,53","2.333,00",2.0,Garrafa Vidro Âmbar,1,2009-08-13,CATU/BA,PETROBRAS
CAMPOS MAR,742810346200.0,7-MLL-58H-RJS,ÓLEO,"5.023,00","5.215,00",2.0,Garrafa Vidro Âmbar,1,2009-12-02,CATU/BA,PETROBRAS
CAMPOS MAR,742810348200.0,7-MLL-62HPA-RJS,ÓLEO,"4.435,00","5.360,00",2.0,Garrafa Vidro Âmbar,1,2010-08-24,CATU/BA,PETROBRAS
CAMPOS MAR,742810358100.0,7-MLS-159HP-RJS,ÓLEO,"3.146,00","3.700,00",2.0,Garrafa Vidro Âmbar,1,2011-02-20,CATU/BA,PETROBRAS
CAMPOS MAR,742810361000.0,7-MLS-177HP-RJS,ÓLEO,"3.310,00","4.033,00",2.0,Garrafa Vidro Âmbar,1,2011-06-25,CATU/BA,PETROBRAS
CAMPOS MAR,742810362400.0,7-MLS-189HP-RJS,ÓLEO,"3.197,00","3.829,00",2.0,Garrafa Vidro Âmbar,1,2011-10-11,CATU/BA,PETROBRAS
CAMPOS MAR,742810369300.0,7-MLS-187HP-RJS,ÓLEO,"3.259,00","3.642,00",2.0,Garrafa Vidro Âmbar,1,2012-06-11,CATU/BA,PETROBRAS
CAMPOS MAR,742810374300.0,7-MLL-72-RJS,ÓLEO,"4.455,00","4.493,00",2.0,Garrafa Vidro Âmbar,1,2013-08-05,CATU/BA,PETROBRAS
CAMPOS MAR,742810380300.0,7-MLS-217HPA-RJS,ÓLEO,"4.874,00","5.241,00",2.0,Garrafa Vidro Âmbar,1,2013-10-20,CATU/BA,PETROBRAS
CAMPOS MAR,742810388600.0,7-MLS-195H-RJS,ÓLEO,"3.208,00","3.957,00",2.0,Garrafa Vidro Âmbar,1,2014-09-28,CATU/BA,PETROBRAS
CAMPOS MAR,742810390700.0,7-MLS-220HA-RJS,ÓLEO,"3.630,00","4.619,00",2.0,Garrafa Vidro Âmbar,1,2015-01-28,CATU/BA,PETROBRAS
CAMPOS MAR,742810392700.0,7-MLS-222HP-RJS,ÓLEO,"3.129,00","3.751,00",1.0,Garrafa Vidro Âmbar,1,2015-10-30,CATU/BA,PETROBRAS
CAMPOS MAR,742810393100.0,7-MLS-175D-RJS,ÓLEO,"4.464,00","5.005,00",2.0,Garrafa Vidro Âmbar,1,2016-03-19,CATU/BA,PETROBRAS
CAMPOS MAR,742810393900.0,7-MLS-230D-RJS,ÓLEO,"4.150,00","5.098,00",2.0,Garrafa Vidro Âmbar,1,2016-05-04,CATU/BA,PETROBRAS
CAMPOS MAR,742810397600.0,7-MLL-78D-RJS,ÓLEO,"4.566,00","4.588,00",2.0,Garrafa Vidro Âmbar,1,2017-09-03,CATU/BA,PETROBRAS
ESPÍRITO SANTO MAR,342710120100.0,7-GLF-1HA-ESS,ÓLEO,"3.490,00","4.569,00",2.0,Garrafa Vidro Âmbar,1,2005-05-16,CATU/BA,PETROBRAS
ESPÍRITO SANTO MAR,342710122400.0,7-GLF-8H-ESS,ÓLEO,"3.624,00","4.491,00",2.0,Garrafa Vidro Âmbar,1,2006-03-23,CATU/BA,PETROBRAS
ESPÍRITO SANTO MAR,342710123400.0,7-GLF-6HP-ESS,ÓLEO,"4.117,00","4.689,00",2.0,Garrafa Vidro Âmbar,1,2005-10-04,CATU/BA,PETROBRAS
ESPÍRITO SANTO MAR,342710123800.0,7-GLF-9HP-ESS,ÓLEO,"4.080,00","4.795,00",2.0,Garrafa Vidro Âmbar,1,2005-10-19,CATU/BA,PETROBRAS
ESPÍRITO SANTO MAR,342710126100.0,7-GLF-11H-ESS,ÓLEO,"4.100,00","4.939,00",2.0,Garrafa Vidro Âmbar,1,2006-02-12,CATU/BA,PETROBRAS
ESPÍRITO SANTO MAR,342710129800.0,7-GLF-15HB-ESS,ÓLEO,"3.385,00","4.377,00",2.0,Garrafa Vidro Âmbar,1,2006-09-01,CATU/BA,PETROBRAS
ESPÍRITO SANTO MAR,342710130300.0,7-GLF-13H-ESS,ÓLEO,"3.480,00","3.981,00",2.0,Garrafa Vidro Âmbar,1,2006-09-04,CATU/BA,PETROBRAS
ESPÍRITO SANTO MAR,342710130500.0,7-GLF-16H-ESS,ÓLEO,"3.908,50","5.008,00",2.0,Garrafa Vidro Âmbar,1,2007-01-18,CATU/BA,PETROBRAS
ESPÍRITO SANTO MAR,342710132700.0,7-GLF-10HA-ESS,ÓLEO,"3.839,50","4.938,00",2.0,Garrafa Vidro Âmbar,1,2006-10-16,CATU/BA,PETROBRAS
ESPÍRITO SANTO MAR,342710157500.0,7-GLF-27HA-ESS,ÓLEO,"3.625,00","4.779,00",2.0,Garrafa Vidro Âmbar,1,2009-07-09,CATU/BA,PETROBRAS
ESPÍRITO SANTO MAR,342710202700.0,7-GLF-40HA-ESS,ÓLEO,"3.483,80","4.446,70",2.0,Garrafa Vidro Âmbar,1,2015-04-29,CATU/BA,PETROBRAS
ESPÍRITO SANTO MAR,342710207500.0,7-GLF-44HP-ESS,ÓLEO,"4.926,80","5.783,00",2.0,Garrafa Vidro Âmbar,1,2015-11-14,CATU/BA,PETROBRAS
ESPÍRITO SANTO TERRA,342700088400.0,7-FSR-29D-ES,ÓLEO,"1.690,00","1.780,00",2.0,Garrafa Vidro Âmbar,1,2002-03-24,CATU/BA,PETROBRAS
ESPÍRITO SANTO TERRA,342700189800.0,7-FSL-58-ES,ÓLEO,"1.888,00","2.032,00",2.0,Garrafa Vidro Âmbar,1,2013-01-07,CATU/BA,PETROBRAS
ESPÍRITO SANTO TERRA,342700208700.0,7-FSR-69-ES,ÓLEO,"1.976,00","2.048,00",2.0,Garrafa Vidro Âmbar,1,2016-02-16,CATU/BA,PETROBRAS
POTIGUAR MAR,721010650800.0,7-GJ-1A-RNS,ÓLEO,"4.628,00","4.790,00",2.0,Garrafa Vidro Âmbar,1,2005-07-15,CATU/BA,PETROBRAS
POTIGUAR TERRA,721000572500.0,7-MAG-27-RN,ÓLEO,"313,50","317,50",2.0,Garrafa Vidro Âmbar,1,2000-10-18,CATU/BA,PETROBRAS
POTIGUAR TERRA,721000599100.0,7-MOR-8-RN,ÓLEO,"1.287,00","1.293,50",2.0,Garrafa Vidro Âmbar,1,2001-08-20,CATU/BA,PETROBRAS
POTIGUAR TERRA,721000630600.0,7-MOR-15-RN,ÓLEO,"825,00","1.287,50",2.0,Garrafa Vidro Âmbar,1,2003-08-10,CATU/BA,PETROBRAS
POTIGUAR TERRA,721000694100.0,7-MAG-55-RN,ÓLEO,"282,00","313,00",2.0,Garrafa Vidro Âmbar,1,2007-06-03,CATU/BA,PETROBRAS
POTIGUAR TERRA,721000844400.0,7-MAG-84-RN,ÓLEO,"283,50","289,00",2.0,Garrafa Vidro Âmbar,1,2012-01-30,CATU/BA,PETROBRAS
POTIGUAR TERRA,721000960700.0,7-GMS-2-RN,ÓLEO,"541,50","544,50",2.0,Garrafa Vidro Âmbar,1,2017-05-10,CATU/BA,PETROBRAS
POTIGUAR TERRA,721000961200.0,7-GMS-3-RN,ÓLEO,"455,50","550,50",2.0,Garrafa Vidro Âmbar,1,2017-05-31,CATU/BA,PETROBRAS
