poco,cadastro,operador,poco_operador,estado,bacia,bloco,sig_campo,campo,terra_mar,poco_pos_anp,tipo,categoria,reclassificacao,situacao,início,término,conclusao,titularidade,latitude_base_4c,longitude_base_4c,latitude_base_dd,longitude_base_dd,datum_horizontal,tipo_de_coordenada_de_base,direcao,profundidade_vertical_m,profundidade_sondador_m,profundidade_medida_m,referencia_de_profundidade,mesa_rotativa,cota_altimetrica_m,lamina_d_agua_m,datum_vertical,unidade_estratigrafica,geologia_grupo_final,geologia_formacao_final,geologia_membro_final,cdpe,agp,pc,pag,perfis_convencionais,durante_perfuracao,perfis_digitais,perfis_processados,perfis_especiais,amostra_lateral,sismica,tabela_tempo_profundidade,dados_direcionais,teste_a_cabo,teste_de_formacao,canhoneio,testemunho,geoquimica,sig_sonda,nom_sonda,atingiu_presal,dha_atualizacao
1-RJS-76-RJS,742810022400,Petrobras,1RJS 0076  RJ,RJ,Campos,CO,CO   ,CORVINA,M,N,1,Pioneiro,PRODUTOR SUBCOMERCIAL DE PETRÓLEO,ABANDONADO PERMANENTEMENTE,1979-01-24,1979-04-26,1979-04-26,Público,"	-22:34:25,734","	-40:36:04,364","-22,573815","-40,6012122222",SIRGAS2000,Definitiva,Vertical,0.0,4927.0,0.0,MR,10.0,0.0,122.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,NS-5                          ,nan,nan,2024-11-24
1-RJS-83-RJS,742810022000,Petrobras,1RJS 0083  RJ,RJ,Campos,CO,CO   ,CORVINA,M,N,1,Pioneiro,PRODUTOR SUBCOMERCIAL DE PETRÓLEO,ABANDONADO PERMANENTEMENTE,1978-12-29,1979-02-12,1979-02-12,Público,"	-22:30:17,087","	-40:32:25,804","-22,5047463888","-40,5405011111",SIRGAS2000,Definitiva,Vertical,0.0,3250.0,0.0,MR,26.0,0.0,124.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,SS-3                          ,nan,nan,2024-11-24
1-RJS-85-RJS,742810023100,Trident Energy,1RJS 0085  RJ,RJ,Campos,PU,PU   ,PIRAÚNA,M,N,1,Pioneiro,PRODUTOR SUBCOMERCIAL DE PETRÓLEO,ABANDONADO PERMANENTEMENTE,1979-03-21,1979-04-14,1979-04-14,Público,"	-22:36:38,458","	-40:36:29,959","-22,6106827777","-40,6083219444",SIRGAS2000,Definitiva,Vertical,0.0,3990.0,0.0,MR,11.0,0.0,141.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,SS-4                          ,nan,nan,2024-11-24
1-RJS-92-RJS,742810025100,Trident Energy,1RJS 0092  RJ,RJ,Campos,LI,LI   ,LINGUADO,M,N,1,Pioneiro,PRODUTOR SUBCOMERCIAL DE PETRÓLEO,ABANDONADO PERMANENTEMENTE,1979-05-15,1979-08-30,1979-08-30,Público,"	-22:47:36,035","	-40:50:12,380","-22,7933430555","-40,8367722222",SIRGAS2000,Definitiva,Vertical,0.0,3135.0,0.0,MR,25.0,0.0,99.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,SS-1                          ,nan,nan,2024-11-24
1-RJ-1-MA,500800055300,Oeste de Canoas,1RJ  0001  MA,MA,Barreirinhas,OC,4072 ,PRJ-OC,T,N,1,Pioneiro,SECO SEM INDÍCIOS,EQUIPADO AGUARDANDO INÍCIO DE OPERAÇÃO,1985-11-24,1986-01-02,1986-01-02,Público,"	-02:47:22,008","	-43:04:28,422","-2,7894466666","-43,0745616666",SIRGAS2000,Definitiva,Vertical,0.0,2700.0,0.0,MR,51.0,0.0,0.0,NM,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,UN-3                          ,nan,I,2024-11-24
1-RM-1A-ES,342700063700,Mandacaru Energia,1RM  0001A ES,ES,Espírito Santo,RM_AM4,RMA  ,RIO MARIRICU,T,N,1,Pioneiro,DESCOBRIDOR DE CAMPO COM PETRÓLEO,INJETANDO,1982-01-05,1982-01-17,1982-01-17,Público,"	-18:48:10,132","	-39:45:58,898","-18,8028144444","-39,7663605555",SIRGAS2000,Definitiva,Vertical,0.0,1871.0,0.0,MR,11.0,0.0,0.0,NM,nan,nan,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,SC-34,SONDA CONVENCIONAL 34,I,2024-11-24
1-RM-2-RN,721000381600,3R Potiguar,1RM  0002  RN,RN,Potiguar,FP,FP   ,FAZENDA POCINHO,T,N,1,Pioneiro,SECO SEM INDÍCIOS,CEDIDO PARA A CAPTAÇÃO DE ÁGUA,1991-02-01,1991-02-04,1991-02-04,Público,"	-05:16:33,493","	-36:33:28,363","-5,2759702777","-36,5578786111",SIRGAS2000,Definitiva,Vertical,0.0,569.0,0.0,MR,40.0,0.0,0.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,SC84,SONDA CONVENCIONAL 84,nan,2024-11-24
1-RNB-1-AM,14020028919,Rosneft,1-RNB-001-AM,AM,Solimões,SOL-T-195,nan,nan,T,S,1,Pioneiro,SECO COM INDÍCIOS DE PETRÓLEO,ARRASADO,2017-02-13,2017-03-31,2017-04-17,Público,"	-05:28:35,925","	-64:33:52,795","-5,4766458333","-64,5646652777",SIRGAS2000,Definitiva,Vertical,1299.0,1350.0,1351.0,MR,52.0,44.0,0.0,NM,nan,Purus,nan,nan,Existe,nan,Existe,Existe,Existe,Existe,nan,Existe,nan,Existe,Existe,Existe,Existe,Existe,nan,nan,Existe,nan,QG VIII,Queiroz Galvão VIII,I,2024-11-24
1-RNB-2A-AM,14020029180,Rosneft,1-RNB-002A-AM,AM,Solimões,SOL-T-169,nan,nan,T,S,1,Pioneiro,nan,ARRASADO,2018-03-17,2018-05-30,2018-08-01,Público,"	-04:52:39,418","	-66:07:40,574","-4,8776161111","-66,1279372222",SIRGAS2000,Definitiva,Vertical,-3303.0,3388.0,3392.0,MR,89.0,81.0,0.0,NM,nan,nan,Embasamento,nan,Existe,nan,Existe,Existe,Existe,Existe,Existe,Existe,nan,Existe,Existe,Existe,Existe,Existe,Existe,Existe,nan,nan,RNB-2,RNB-2,I,2024-11-24
1-RNB-2-AM,14020029136,Rosneft,1-RNB-002-AM,AM,Solimões,SOL-T-169,nan,nan,T,S,1,Pioneiro,nan,ARRASADO,2017-12-28,2018-03-06,2018-03-17,Público,"	-04:52:39,418","	-66:07:40,574","-4,8776161111","-66,1279372222",SIRGAS2000,Definitiva,Vertical,0.0,1988.0,1988.0,MR,89.0,81.0,0.0,NM,nan,nan,Embasamento,nan,Existe,nan,Existe,Existe,Existe,Existe,nan,Existe,nan,nan,nan,nan,Existe,nan,nan,nan,nan,nan,RNB-2,RNB-2,I,2024-11-24
1-RNS-102A-RN,721010293600,nan,1RNS 0102A RN,RN,Potiguar,nan,nan,nan,M,N,1,Pioneiro,SECO COM INDÍCIOS DE PETRÓLEO,ABANDONADO PERMANENTEMENTE,1987-09-08,1987-11-22,1987-11-22,Público,"	-04:54:39,845","	-36:26:55,867","-4,9110680555","-36,4488519444",SIRGAS2000,Definitiva,Vertical,0.0,4030.0,0.0,MR,27.0,0.0,14.0,NM,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,PA18                          ,nan,I,2024-11-24
1-RNS-102-RN,721010293500,3R Potiguar,1RNS 0102  RN,RN,Potiguar,nan,nan,nan,M,N,1,Pioneiro,ABANDONADO POR ACIDENTE MECÂNICO,ABANDONADO PERMANENTEMENTE,1987-09-06,1987-09-07,1987-09-07,Público,"	-04:54:39,845","	-36:26:55,867","-4,9110680555","-36,4488519444",SIRGAS2000,Definitiva,Vertical,0.0,140.0,0.0,MR,27.0,0.0,14.0,NM,nan,nan,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PA18                          ,nan,I,2024-11-24
1-RNS-11-RNS,721010036500,3R Potiguar,1RNS 0011  RN,RN,Potiguar,R071,OUB  ,OESTE DE UBARANA,M,N,1,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,1976-08-05,1976-11-06,1976-11-06,Público,"	-04:52:00,713","	-36:30:10,988","-4,8668647222","-36,5030522222",SIRGAS2000,Definitiva,Vertical,0.0,3353.0,0.0,MR,22.0,0.0,17.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,PA-3                          ,nan,nan,2024-11-24
1-RNS-118-RNS,721010458900,Petrobras,1RNS 0118  RN,RN,Potiguar,R093,DEN  ,DENTÃO,M,N,1,Pioneiro,ABANDONADO POR ACIDENTE MECÂNICO,ABANDONADO PERMANENTEMENTE,1994-07-17,1994-11-20,1994-11-20,Público,"	-04:38:27,438","	-36:51:42,486","-4,640955","-36,8618016666",SIRGAS2000,Definitiva,Vertical,0.0,4500.0,0.0,MR,25.0,0.0,28.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,P-3,PETROBRAS III,nan,2024-11-24
1-RNS-12-RN,721010028900,3R Potiguar,1RNS 0012  RN,RN,Potiguar,nan,nan,nan,M,N,1,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,1975-09-18,1975-11-07,1975-11-07,Público,"	-04:54:59,196","	-36:17:54,985","-4,9164433333","-36,2986069444",SIRGAS2000,Definitiva,Vertical,0.0,3050.0,0.0,MR,22.0,0.0,11.0,NM,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,PA-4                          ,nan,I,2024-11-24
1-RNS-14-RN,721010034600,3R Potiguar,1RNS 0014  RN,RN,Potiguar,nan,nan,nan,M,N,1,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,1976-05-26,1976-07-05,1976-07-05,Público,"	-04:57:55,662","	-36:17:56,073","-4,9654616666","-36,2989091666",SIRGAS2000,Definitiva,Vertical,0.0,2425.0,0.0,MR,18.0,0.0,13.0,NM,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,PA-2                          ,nan,I,2024-11-24
1-RNS-18-RN,721010039000,3R Potiguar,1RNS 0018  RN,RN,Potiguar,nan,nan,nan,M,N,1,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,1977-08-17,1977-09-21,1977-09-21,Público,"	-04:52:17,603","	-36:20:09,989","-4,8715563888","-36,3361080555",SIRGAS2000,Definitiva,Vertical,0.0,2688.0,0.0,MR,26.0,0.0,24.0,NM,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,PA10,Plataforma autoelevável 10,I,2024-11-24
1-RNS-28-RNS,721010052400,nan,1RNS 0028  RN,RN,Potiguar,Brasil,nan,nan,M,N,1,Pioneiro,PRODUTOR SUBCOMERCIAL DE GÁS NATURAL,ARRASADO,1980-11-06,1980-12-30,1980-12-30,Público,"	-04:45:01,281","	-36:49:51,507","-4,7503558333","-36,8309741666",SIRGAS2000,Definitiva,Vertical,0.0,3608.0,0.0,MR,24.0,0.0,18.0,NM,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,PA-3                          ,nan,I,2024-11-24
1-RNS-43-RN,721010116700,3R RNCE,1RNS 0043  RN,RN,Potiguar,MA,MA   ,MACAU,M,N,1,Pioneiro,DESCOBRIDOR DE CAMPO COM PETRÓLEO,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,1982-11-19,1982-12-09,1982-12-09,Público,"	-05:02:01,946","	-36:34:15,834","-5,0338738888","-36,571065",SIRGAS2000,Definitiva,Vertical,0.0,1316.0,0.0,MR,24.0,0.0,7.0,NM,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,P-4,PETROBRAS IV,I,2024-11-24
1-RNS-48-RN,721010183900,3R RNCE,1RNS 0048  RN,RN,Potiguar,MA,MA   ,MACAU,M,N,1,Pioneiro,DESCOBRIDOR DE CAMPO COM PETRÓLEO,ABANDONADO PERMANENTEMENTE,1984-07-20,1984-08-09,1984-08-09,Público,"	-05:03:25,402","	-36:32:22,748","-5,0570561111","-36,5396522222",SIRGAS2000,Definitiva,Vertical,0.0,1226.0,0.0,MR,26.0,0.0,4.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,P-1,PETROBRAS I,I,2024-11-24
1-RNS-51-RNS,721010153700,Petrobras,1RNS 0051  RN,RN,Potiguar,R093,DEN  ,DENTÃO,M,N,1,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,1983-09-28,1983-11-24,1983-11-24,Público,"	-04:40:04,353","	-36:53:27,005","-4,6678758333","-36,8908347222",SIRGAS2000,Definitiva,Vertical,0.0,3894.0,0.0,MR,22.0,0.0,19.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,PA18                          ,nan,nan,2024-11-24
1-RPE-1D-BA,202600065200,nan,1RPE 0001D BA,BA,Mucuri,nan,nan,nan,T,N,1,Pioneiro,SECO COM INDÍCIOS DE PETRÓLEO,ABANDONADO PERMANENTEMENTE,1982-01-30,1982-02-23,1982-02-23,Público,"	-17:54:01,043","	-39:24:14,672","-17,9002897222","-39,4040755555",SIRGAS2000,Definitiva,Direcional,0.0,1512.0,0.0,MR,11.0,0.0,0.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,SC-25,SONDA CONVENCIONAL 25,I,2024-11-24
1-RPJ-1-BA,202400357300,3R Bahia,1RPJ 0001  BA,BA,Recôncavo,REC-T-181,TPGN ,TAPIRANGA NORTE,T,N,1,Pioneiro,DESCOBRIDOR DE CAMPO COM PETRÓLEO,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,1982-02-24,1982-04-02,1982-04-02,Público,"	-12:24:31,507","	-38:17:56,513","-12,4087519444","-38,2990313888",SIRGAS2000,Definitiva,Vertical,0.0,2085.0,0.0,MR,60.0,0.0,0.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,UN-2                          ,nan,I,2024-11-24
1-RPO-1-ES,342700028400,Seacrest SPE Cricaré,1RPO 0001  ES,ES,Espírito Santo,ES-T-400,JCT  ,JACUTINGA,T,N,1,Pioneiro,DESCOBRIDOR DE CAMPO COM PETRÓLEO,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,1979-10-19,1979-11-10,1979-11-10,Público,"	-18:49:21,651","	-39:50:38,171","-18,8226808333","-39,8439363888",SIRGAS2000,Definitiva,Vertical,0.0,1293.0,0.0,MR,24.0,0.0,0.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,SC-83,SONDA CONVENCIONAL 83,I,2024-11-24
1-RPP-1-BA,202400572400,SPE Miranga,1RPP 0001  BA,BA,Recôncavo,BB,BB   ,BIRIBA,T,N,1,Pioneiro,DESCOBRIDOR DE CAMPO COM GÁS NATURAL E CONDENSADO,FECHADO,1994-10-18,1995-04-13,1995-04-13,Público,"	-12:19:23,926","	-38:13:29,049","-12,3233127777","-38,2247358333",SIRGAS2000,Definitiva,Vertical,0.0,3405.0,0.0,MR,117.0,0.0,0.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,SC-105,SONDA CONVENCIONAL 105,I,2024-11-24
1-RPR-1A-SE,901200310500,Carmo,1RPR 0001A SE,SE,Sergipe,BRG,BRG  ,BREJO GRANDE,T,N,1,Pioneiro,SECO COM INDÍCIOS DE PETRÓLEO E GÁS NATURAL,ARRASADO,1986-04-03,1986-04-18,1986-04-18,Público,"	-10:27:09,572","	-36:26:27,109","-10,4526588888","-36,4408636111",SIRGAS2000,Definitiva,Vertical,0.0,1800.0,0.0,MR,9.0,0.0,0.0,NM,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,SC-92,SONDA CONVENCIONAL 92,nan,2024-11-24
1-RPR-1-SE,901200308600,Carmo,1RPR 0001  SE,SE,Sergipe,BRG,BRG  ,BREJO GRANDE,T,N,1,Pioneiro,ABANDONADO POR ACIDENTE MECÂNICO,ARRASADO,1986-03-06,1986-03-12,1986-03-12,Público,"	-10:27:09,975","	-36:26:27,122","-10,4527708333","-36,4408672222",SIRGAS2000,Definitiva,Vertical,0.0,772.0,0.0,MR,9.0,0.0,0.0,NM,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,SC-92,SONDA CONVENCIONAL 92,nan,2024-11-24
1-RPS-1-ES,342700043600,Seacrest SPE Cricaré,1RPS 0001  ES,ES,Espírito Santo,ES-T-400,JCT  ,JACUTINGA,T,N,1,Pioneiro,DESCOBRIDOR DE CAMPO COM PETRÓLEO,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,1980-08-28,1980-09-08,1980-09-08,Público,"	-18:51:36,354","	-39:51:21,163","-18,8600983333","-39,8558786111",SIRGAS2000,Definitiva,Vertical,0.0,1360.0,0.0,MR,23.0,0.0,0.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,SC-83,SONDA CONVENCIONAL 83,I,2024-11-24
1-RQZ-1-BA,202400372700,Petrobras,1RQZ 0001  BA,BA,Recôncavo,REC-T-41,TGA  ,TANGARÁ,T,N,1,Pioneiro,SECO SEM INDÍCIOS,DEVOLVIDO,1982-11-14,1982-12-01,1982-12-01,Público,"	-11:54:07,636","	-37:57:59,308","-11,9021211111","-37,9664744444",SIRGAS2000,Definitiva,Vertical,0.0,1200.0,0.0,MR,151.0,0.0,0.0,NM,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,SC-27,SONDA CONVENCIONAL 27,I,2024-11-24
1-RSM-2-ES,342700027400,Seacrest SPE Cricaré,1RSM 0002  ES,ES,Espírito Santo,CCNS,SML  ,SÃO MATEUS LESTE,T,N,1,Pioneiro,PRODUTOR SUBCOMERCIAL DE PETRÓLEO,DEVOLVIDO,1979-09-21,1979-10-09,1979-10-09,Público,"	-18:43:18,766","	-39:49:11,964","-18,7218794444","-39,81999",SIRGAS2000,Definitiva,Vertical,0.0,1123.0,0.0,MR,7.0,0.0,0.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,SC-83,SONDA CONVENCIONAL 83,I,2024-11-24
1-RSM-3-ES,342700027000,Seacrest SPE Cricaré,1RSM 0003  ES,ES,Espírito Santo,CCNS,SML  ,SÃO MATEUS LESTE,T,N,1,Pioneiro,DESCOBRIDOR DE CAMPO COM PETRÓLEO,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,1979-08-24,1979-09-06,1979-09-06,Público,"	-18:45:23,238","	-39:50:07,934","-18,756455","-39,8355372222",SIRGAS2000,Definitiva,Vertical,0.0,1224.0,0.0,MR,31.0,0.0,0.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,SC-60,SONDA CONVENCIONAL 60,I,2024-11-24
1-RUT-1-AM,140300074100,Eneva,1RUT 0001  AM,AM,Amazonas,AZU,AZU  ,AZULÃO,T,N,1,Pioneiro,DESCOBRIDOR DE CAMPO COM GÁS NATURAL,ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO,1998-10-05,1999-01-18,1999-01-18,Público,"	-02:44:30,219","	-58:10:52,623","-2,7417275","-58,1812841666",SIRGAS2000,Definitiva,Vertical,0.0,3478.0,0.0,MR,88.0,83.0,0.0,NM,nan,nan,nan,nan,Existe,Existe,Existe,nan,Existe,nan,Existe,nan,Existe,nan,Existe,Existe,nan,nan,nan,nan,Existe,Existe,SM-15 (QG-04),QUEIROZ GALVÃO 04 (QG-04),I,2024-11-24
1-RV-1-RN,721000317500,Leros,1RV  0001  RN,RN,Potiguar,RV,RV   ,RIACHO VELHO,T,N,1,Pioneiro,DESCOBRIDOR DE CAMPO COM PETRÓLEO,FECHADO,1988-06-28,1988-07-30,1988-07-30,Público,"	-05:33:10,279","	-37:14:50,373","-5,5528552777","-37,2473258333",SIRGAS2000,Definitiva,Vertical,0.0,2000.0,0.0,MR,104.0,0.0,0.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,Existe,SC-94,SONDA CONVENCIONAL 94,nan,2024-11-24
1-SB-1-RN,721000090200,3R Potiguar,1SB  0001  RN,RN,Potiguar,MAG,MAG  ,MONTE ALEGRE,T,N,1,Pioneiro,SECO SEM INDÍCIOS,CEDIDO PARA A CAPTAÇÃO DE ÁGUA,1982-05-15,1982-05-19,1982-05-19,Público,"	-05:18:55,129","	-36:37:38,924","-5,3153136111","-36,6274788888",SIRGAS2000,Definitiva,Vertical,0.0,491.0,0.0,MR,32.0,0.0,0.0,NM,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,SC84,SONDA CONVENCIONAL 84,nan,2024-11-24
1-SCA-1-RN,721000351600,nan,1SCA 0001  RN,RN,Potiguar,Brasil,nan,nan,T,N,1,Pioneiro,SECO COM INDÍCIOS DE PETRÓLEO,ARRASADO,1989-10-08,1989-10-17,1989-10-17,Público,"	-05:11:35,520","	-36:37:21,290","-5,1932","-36,6225805555",SIRGAS2000,Definitiva,Vertical,0.0,868.0,0.0,MR,7.0,0.0,0.0,NM,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,Existe,nan,nan,nan,Existe,Existe,nan,nan,nan,nan,nan,nan,SC-86,SONDA CONVENCIONAL 86,I,2024-11-24
1-SCM-1-RN,721000276900,3R Potiguar,1SCM 0001  RN,RN,Potiguar,CAM,CAM  ,CANTO DO AMARO,T,N,1,Pioneiro,SECO SEM INDÍCIOS,CEDIDO PARA A CAPTAÇÃO DE ÁGUA,1987-01-31,1987-02-08,1987-02-08,Público,"	-05:01:42,354","	-37:07:40,076","-5,0284316666","-37,1277988888",SIRGAS2000,Definitiva,Vertical,0.0,1256.0,0.0,MR,8.0,0.0,0.0,NM,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,SC-82,SONDA CONVENCIONAL 82,nan,2024-11-24
1-SCR-2-RN,721000285400,3R RNCE,1SCR 0002  RN,RN,Potiguar,SCR,SCR  ,SALINA CRISTAL,T,N,1,Pioneiro,DESCOBRIDOR DE CAMPO COM PETRÓLEO,FECHADO,1987-05-25,1987-06-01,1987-06-01,Público,"	-05:07:43,976","	-36:33:27,876","-5,1288822222","-36,5577433333",SIRGAS2000,Definitiva,Vertical,0.0,825.0,825.0,MR,6.0,2.0,0.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,Existe,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,SC-85,SONDA CONVENCIONAL 85,I,2024-11-24
1-SEG-1-BA,202400341200,Brasil Refinarias,1SEG 0001  BA,BA,Recôncavo,ARL_AM4,ARL  ,ARAÇÁS LESTE,T,N,1,Pioneiro,PRODUTOR SUBCOMERCIAL DE PETRÓLEO,PRODUZINDO,1980-07-14,1981-03-26,1981-03-26,Público,"	-12:08:26,163","	-38:06:11,331","-12,1406008333","-38,1031475",SIRGAS2000,Definitiva,Vertical,0.0,3575.0,0.0,MR,80.0,0.0,0.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,SC-72,SONDA CONVENCIONAL 72,I,2024-11-24
1-SES-1-RN,721000151800,nan,1SES 0001  RN,RN,Potiguar,Brasil,nan,nan,T,N,1,Pioneiro,SECO SEM INDÍCIOS,DEVOLVIDO,1983-09-06,1983-09-20,1983-09-20,Público,"	-05:10:51,200","	-36:35:54,470","-5,1808888888","-36,5984638888",SIRGAS2000,Definitiva,Vertical,0.0,1169.0,0.0,MR,10.0,0.0,0.0,NM,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,SC-86,SONDA CONVENCIONAL 86,I,2024-11-24
1-SES-116-SES,901210391400,Petrobras,1SES 0116  SE,SE,Sergipe,GA,GA   ,GUARICEMA,M,N,1,Pioneiro,SECO SEM INDÍCIOS,ARRASADO,1997-07-16,1997-07-26,1997-07-26,Público,"	-11:13:50,090","	-37:03:11,023","-11,2305805555","-37,0530619444",SIRGAS2000,Definitiva,Vertical,0.0,1670.0,0.0,MR,23.0,0.0,33.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PA-29,NORTH STAR I,nan,2024-11-24
1-SES-128D-SES,901210398000,Petrobras,1SES 0128D SE,SE,Sergipe,CM,CM   ,CAMORIM,M,N,1,Pioneiro,SECO SEM INDÍCIOS,ARRASADO,1999-02-12,1999-03-30,1999-03-30,Público,"	-11:01:18,542","	-37:01:35,398","-11,0218172222","-37,0264994444",SIRGAS2000,Definitiva,Direcional,0.0,2976.0,0.0,MR,25.0,0.0,12.0,NM,nan,nan,nan,nan,Existe,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PA-29,NORTH STAR I,nan,2024-11-24
1-SES-29-SES,901210159800,Petrobras,1SES 0029  SE,SE,Sergipe,GA,GA   ,GUARICEMA,M,N,1,Pioneiro,DESCOBRIDOR DE CAMPO COM GÁS NATURAL,ABANDONADO PERMANENTEMENTE,1974-08-07,1974-10-04,1974-10-04,Público,"	-11:10:40,682","	-37:06:57,613","-11,1779672222","-37,1160036111",SIRGAS2000,Definitiva,Vertical,0.0,2623.0,0.0,MR,22.0,0.0,16.0,NM,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PA-8                          ,nan,nan,2024-11-24
