;;;;;;;;
Bacia sedimentar;Código do poço (API);Nome do poço (ANP);Profundidade (m);Identificador da caixa;Total de caixas;Data de conclusão do poço;Município/Estado;Depositária
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2196;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2561;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2567;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2580;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2628;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2718;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2739;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2768;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2776;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2777;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2810;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2812;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2313;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2816;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2818;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2820;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2864;2;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2865;2;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2868;2;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2887;2;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);3320;2;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);3580;2;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271023058;4-BRSA-620-ESS (4-PER-5-ESS);2816;1;1;03-ago-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271023058;4-BRSA-620-ESS (4-PER-5-ESS);1833;1;1;03-ago-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271023058;4-BRSA-620-ESS (4-PER-5-ESS);2849;1;1;03-ago-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271023058;4-BRSA-620-ESS (4-PER-5-ESS);2875;1;1;03-ago-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271023058;4-BRSA-620-ESS (4-PER-5-ESS);3003;1;1;03-ago-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271023058;4-BRSA-620-ESS (4-PER-5-ESS);3013;1;1;03-ago-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271023058;4-BRSA-620-ESS (4-PER-5-ESS);3014;1;1;03-ago-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271023058;4-BRSA-620-ESS (4-PER-5-ESS);3033;1;1;03-ago-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271023058;4-BRSA-620-ESS (4-PER-5-ESS);3043;1;1;03-ago-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271023058;4-BRSA-620-ESS (4-PER-5-ESS);3108;1;1;03-ago-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271023058;4-BRSA-620-ESS (4-PER-5-ESS);3115;1;1;03-ago-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022816;4-PER-4-ESS;2658;1;1;27-Abr-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022816;4-PER-4-ESS;2734;1;1;27-Abr-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022816;4-PER-4-ESS;2772;1;1;27-Abr-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022816;4-PER-4-ESS;2857;1;1;27-Abr-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022816;4-PER-4-ESS;2878;1;1;27-Abr-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022816;4-PER-4-ESS;2910;1;1;27-Abr-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022816;4-PER-4-ESS;2955;1;1;27-Abr-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022816;4-PER-4-ESS;2979;1;1;27-Abr-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022816;4-PER-4-ESS;3014;1;1;27-Abr-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022816;4-PER-4-ESS;3035;1;1;27-Abr-08;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;2906;1;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;2936;1;6;08/06/2009;RIO DE JANEIRO/RJ;3R
