;;;;;;;;;;;
Bacia sedimentar;Código do poço (API);Nome do poço (ANP);Identificador da caixa;Total de caixas;Profundidade topo (m);Profundidade base (m);Data de conclusão do poço;Município/Estado;Depositária;;
CAMPOS;74281026879;9-PPT-36D-RJS;2;19;2313;2519;14/04/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026879;9-PPT-36D-RJS;3;19;2519;2736;14/04/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026879;9-PPT-36D-RJS;4;19;2736;2952;14/04/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026879;9-PPT-36D-RJS;5;19;2952;3150;14/04/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026879;9-PPT-36D-RJS;6;19;3150;3222;14/04/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026879;9-PPT-36D-RJS;7;19;3222;3294;14/04/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026879;9-PPT-36D-RJS;8;19;3294;3354;14/04/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026879;9-PPT-36D-RJS;9;19;3354;3414;14/04/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026879;9-PPT-36D-RJS;10;19;3414;3474;14/04/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026879;9-PPT-36D-RJS;11;19;3474;3534;14/04/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026879;9-PPT-36D-RJS;12;19;3534;3594;14/04/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026879;9-PPT-36D-RJS;13;19;3594;3654;14/04/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026879;9-PPT-36D-RJS;14;19;3654;3714;14/04/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026879;9-PPT-36D-RJS;15;19;3714;3774;14/04/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026879;9-PPT-36D-RJS;16;19;3774;3834;14/04/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026879;9-PPT-36D-RJS;17;19;3834;3894;14/04/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026879;9-PPT-36D-RJS;18;19;3894;3954;14/04/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026879;9-PPT-36D-RJS;19;19;3954;3994;14/04/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026993;7-PPT-37HP-RJS;1;24;2892;2949;16/12/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026993;7-PPT-37HP-RJS;2;24;2949;3009;16/12/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026993;7-PPT-37HP-RJS;3;24;3009;3069;16/12/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026993;7-PPT-37HP-RJS;4;24;3069;3129;16/12/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026993;7-PPT-37HP-RJS;5;24;3129;3189;16/12/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026993;7-PPT-37HP-RJS;6;24;3189;3249;16/12/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026993;7-PPT-37HP-RJS;7;24;3249;3309;16/12/2013;RIO DE JANEIRO/RJ;3R;;
