;;;;;;;;;;
Bacia sedimentar;Código do poço (API);Nome do poço (ANP);Número do testemunho;Profundidade do plugue (m);Orientação do plugue (H ou V);Identificador da caixa;Total de caixas;Data de conclusão do poço;Município/Estado;Depositária
POTIGUAR;721010540100;7-SER-1D-RNS;1;1436;H;15;3;17/08/1998;RIO DE JANEIRO/RJ;3R
POTIGUAR;721010540100;7-SER-1D-RNS;1;1443;H;15;3;17/08/1998;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400047700;7-AG-25-BA;1;-;-;2;1;29/04/1956;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400067900; 7-AG-72-BA;1;-;-;1;5;21/12/1958;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240020195;7-BSU-12-BA;1;1891;V;1;1;16/11/2002;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240020195;7-BSU-12-BA;1;1894;H;1;1;16/11/2002;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240038590;7-AG-320-BA;1;-;H;1;1;29/04/1983;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240038590;7-AG-320-BA;1;-;H;1;1;29/04/1983;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240038590;7-AG-320-BA;1;-;H;1;1;29/04/1983;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240038590;7-AG-320-BA;1;-;H;1;1;29/04/1983;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240038590;7-AG-320-BA;1;-;V;1;1;29/04/1983;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240038590;7-AG-320-BA;1;-;H;1;1;29/04/1983;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240038590;7-AG-320-BA;1;-;H;1;1;29/04/1983;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240038590;7-AG-320-BA;1;-;H;1;1;29/04/1983;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240038590;7-AG-320-BA;1;-;H;1;1;29/04/1983;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240038590;7-AG-320-BA;1;1;-;1;1;29/04/1983;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240038590;7-AG-320-BA;1;2;-;1;1;29/04/1983;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240038590;7-AG-320-BA;1;3;-;1;1;29/04/1983;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240038590;7-AG-320-BA;1;4;-;1;1;29/04/1983;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240038590;7-AG-320-BA;1;5;-;1;1;29/04/1983;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240038590;7-AG-320-BA;1;6;-;1;1;29/04/1983;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240038590;7-AG-320-BA;1;7;-;1;1;29/04/1983;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240038590;7-AG-320-BA;1;8;-;1;1;29/04/1983;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240038590;7-AG-320-BA;1;9;-;1;1;29/04/1983;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240038590;7-AG-320-BA;1;10;-;1;1;29/04/1983;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240038590;7-AG-320-BA;1;11;-;1;1;29/04/1983;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240038590;7-AG-320-BA;1;12;-;1;1;29/04/1983;RIO DE JANEIRO/RJ;3R
