ID1,BACIA,NOME_SETOR,geometry
132,Foz do Amazonas,SFZA-AUP1,"POLYGON ((-50.25000000000001 5.5, -50.25000000000001 5.749999999999999, -50.37499999999999 5.749999999999999, -50.37499999999999 5.791666666666666, -50.3125 5.791666666666666, -50.3125 5.875, -50.25000000000001 5.875, -50.25000000000001 5.958333333333334, -50.1875 5.958333333333334, -50.1875 6.041666666666667, -50.125 6.041666666666667, -50.125 6.083333333333333, -50.0625 6.083333333333333, -50.0625 6.166666666666666, -50 6.166666666666666, -50 6.208333333333333, -49.9375 6.208333333333333, -49.9375 6.333333333333333, -49.87499999999999 6.333333333333333, -49.87499999999999 6.416666666666666, -49.8125 6.416666666666666, -49.8125 6.5, -49.75 6.5, -49.75 6.541666666666667, -49.68749999999999 6.541666666666667, -49.68749999999999 6.625000000000002, -49.625 6.625000000000002, -49.625 6.708333333333334, -49.5625 6.708333333333334, -49.5625 6.75, -49.50000000000001 6.75, -49.50000000000001 6.875, -49.43750000000001 6.875, -49.43750000000001 6.916666666666667, -49.375 6.916666666666667, -49.375 6.958333333333334, -49.31250000000001 6.958333333333334, -49.31250000000001 6.916666666666667, -49.24999999999999 6.916666666666667, -49.249999999999986 6.25, -49 6.25, -49 5.749999999999998, -48.749999999999986 5.749999999999998, -48.749999999999986 5.25, -49.50000000000001 5.25, -49.50000000000001 5, -49.75 5, -49.75 5.25, -50 5.25, -50 5.5, -50.25000000000001 5.5))"
58,Pelotas,SP-AP1,"POLYGON ((-47.25 -28, -46.499999999999986 -28, -46.499999999999986 -29.25, -47 -29.25, -47 -30.25, -47.5 -30.25, -47.5 -30.750000000000004, -48.00000000000001 -30.750000000000004, -48.00000000000001 -29.000000000000004, -47.75 -29.000000000000004, -47.75 -28.75, -47.25 -28.75, -47.25 -28))"
59,Pelotas,SP-AP2,"POLYGON ((-48.00000000000001 -30.750000000000004, -48.5 -30.750000000000004, -48.5 -31.249999999999996, -49 -31.249999999999996, -49 -31.750000000000004, -49.50000000000001 -31.750000000000004, -49.5 -32.25, -49.75 -32.25, -50 -32.25, -50 -31.5, -49.75 -31.5, -49.75 -31.249999999999996, -49.5 -31.249999999999996, -49.50000000000001 -31, -49.249999999999986 -31, -49.249999999999986 -30.750000000000004, -49 -30.750000000000004, -49 -30.5, -48.5 -30.5, -48.25 -30.5, -48.25 -30.25, -48.00000000000001 -30.25, -48.00000000000001 -30.750000000000004))"
60,Pelotas,SP-AUP1,"POLYGON ((-45.5 -28, -45.5 -29.25, -45.999999999999986 -29.25, -45.999999999999986 -30.25, -46.499999999999986 -30.25, -46.499999999999986 -30.750000000000004, -47 -30.75, -47 -30.750000000000004, -47.5 -30.750000000000004, -47.5 -30.25, -47 -30.25, -47 -29.25, -46.499999999999986 -29.25, -46.499999999999986 -28, -45.5 -28))"
61,Pelotas,SP-AUP6,"POLYGON ((-47 -30.750000000000004, -47 -31.249999999999996, -46.74999999999999 -31.249999999999996, -46.75 -31.750000000000004, -47 -31.750000000000004, -47 -32.25, -47.25 -32.25, -47.25 -32.75, -47.5 -32.75, -47.5 -33, -47.75 -33, -47.75 -33.25, -48.00000000000001 -33.25, -48.5 -33.25, -48.5 -32.25, -48.00000000000001 -32.25, -48.00000000000001 -31.750000000000004, -47.5 -31.750000000000004, -47.5 -30.750000000000004, -47 -30.750000000000004))"
62,Pelotas,SP-AUP7,"POLYGON ((-49.5 -34.25, -49.5 -33.75, -49 -33.75, -49 -33.25, -48.00000000000001 -33.25, -48.00000000000001 -33.499999999999986, -48.25 -33.499999999999986, -48.25 -33.75, -48.5 -33.75, -48.5 -34, -48.749999999999986 -34, -48.749999999999986 -34.25, -49 -34.25, -49 -34.5, -49.249999999999986 -34.5, -49.249999999999986 -34.75, -49.5 -34.75, -49.5 -34.25))"
63,Pelotas,SP-AP4,"POLYGON ((-51.749999999999986 -34.5, -51.749999999999986 -34.25, -51.49999999999999 -34.25, -51.49999999999999 -33.75, -50.999999999999986 -33.75, -50.999999999999986 -34.75, -51.25 -34.75, -51.49999999999999 -34.75, -51.49999999999999 -34.5, -51.749999999999986 -34.5))"
64,Pelotas,SP-AR3,"POLYGON ((-51.749999999999986 -32.875, -51.625 -32.875, -51.625 -32.75, -51.49999999999999 -32.75, -51.49999999999999 -32.5, -51.37500000000001 -32.5, -51.37500000000001 -32.374999999999986, -51.25 -32.374999999999986, -51.25 -32, -50.999999999999986 -32, -50.999999999999986 -31.875000000000004, -50.875 -31.875000000000004, -50.875 -31.750000000000004, -50.75 -31.750000000000004, -50.75 -31.5, -50.624999999999986 -31.5, -50.624999999999986 -31.5, -50.624999999999986 -31.375, -50.5 -31.375, -50.5 -31.375, -50.5 -31.625, -50.374999999999986 -31.625, -50.374999999999986 -31.750000000000004, -50.25000000000001 -31.750000000000004, -50.25000000000001 -31.875000000000004, -50.125 -31.875000000000004, -50.125 -32, -50.25000000000001 -32, -50.25000000000001 -32.5, -50.5 -32.5, -50.5 -33.25, -50.75 -33.25, -50.75 -33.499999999999986, -50.999999999999986 -33.499999999999986, -50.999999999999986 -33.375, -51.125 -33.375, -51.125 -33.25, -51.37500000000001 -33.25, -51.37500000000001 -33.125, -51.625 -33.125, -51.625 -33, -51.749999999999986 -33, -51.749999999999986 -32.875))"
65,Pelotas,SP-AP3,"POLYGON ((-50.999999999999986 -33.75, -50.999999999999986 -33.499999999999986, -50.75 -33.499999999999986, -50.75 -33.25, -50.5 -33.25, -50.5 -32.5, -50.25000000000001 -32.5, -50.25000000000001 -32, -50 -32, -50 -32.25, -49.5 -32.25, -49.5 -33.25, -50 -33.25, -50 -33.75, -50.999999999999986 -33.75))"
66,Pelotas,SP-AUP8,"POLYGON ((-50.75 -35, -50.75 -34.75, -50 -34.75, -50 -34.25, -49.5 -34.25, -49.5 -35, -49.75 -35, -49.75 -35.5, -50.5 -35.5, -50.5 -35.249999999999986, -50.75 -35.249999999999986, -50.75 -35))"
67,Pelotas,SP-AR4,"POLYGON ((-51.125 -33.25, -51.125 -33.375, -50.999999999999986 -33.375, -50.999999999999986 -33.75, -51.49999999999999 -33.75, -51.49999999999999 -34.25, -51.749999999999986 -34.25, -51.749999999999986 -34.5, -52.125 -34.5, -52.125 -34.375, -52.25 -34.375, -52.25 -34.25, -52.50000000000001 -34.25, -52.50000000000001 -33.875, -52.375 -33.875, -52.375 -33.75, -52.25 -33.75, -52.25 -33.499999999999986, -52.125 -33.499999999999986, -52.125 -33.375, -52 -33.375, -52 -33.25, -51.875 -33.25, -51.875 -33.125, -51.749999999999986 -33.125, -51.749999999999986 -33, -51.625 -33, -51.625 -33.125, -51.37500000000001 -33.125, -51.37500000000001 -33.25, -51.125 -33.25))"
68,Pelotas,SP-AR2,"POLYGON ((-49 -29.625000000000004, -48.875 -29.625000000000004, -48.875 -29.75, -48.749999999999986 -29.75, -48.749999999999986 -29.875, -48.625 -29.875, -48.625 -29.999999999999993, -48.5 -29.999999999999993, -48.5 -30.125000000000004, -48.375 -30.125000000000004, -48.375 -30.25, -48.25 -30.25, -48.25 -30.375, -48.25 -30.5, -49 -30.5, -49 -30.750000000000004, -49.249999999999986 -30.750000000000004, -49.249999999999986 -31, -49.5 -31, -49.5 -31.249999999999996, -49.75 -31.249999999999996, -49.75 -31.5, -50 -31.5, -50 -32, -50.125 -32, -50.125 -31.875000000000004, -50.25000000000001 -31.875000000000004, -50.25000000000001 -31.750000000000004, -50.374999999999986 -31.750000000000004, -50.374999999999986 -31.625, -50.5 -31.625, -50.5 -31.249999999999996, -50.374999999999986 -31.249999999999996, -50.374999999999986 -31.124999999999993, -50.25000000000001 -31.124999999999993, -50.25000000000001 -31, -50.125 -31, -50.125 -30.62499999999999, -50 -30.62499999999999, -50 -30.62499999999999, -50 -30.5, -49.874999999999986 -30.5, -49.874999999999986 -30.25, -49.75 -30.25, -49.75 -29.999999999999993, -49.625 -29.999999999999993, -49.625 -29.75, -49.5 -29.75, -49.5 -29.625000000000004, -49.375 -29.625000000000004, -49.375 -29.375, -49.12500000000001 -29.375, -49.12500000000001 -29.49999999999999, -49 -29.49999999999999, -49 -29.625000000000004))"
69,Pelotas,SP-AR1,"POLYGON ((-48.25 -27.875, -47.25 -27.875, -47.25 -28.75, -47.75 -28.75, -47.75 -29.000000000000004, -48.00000000000001 -29.000000000000004, -48.00000000000001 -30.25, -48.375 -30.25, -48.375 -30.125000000000004, -48.5 -30.125000000000004, -48.5 -29.999999999999993, -48.625 -29.999999999999993, -48.625 -29.875, -48.749999999999986 -29.875, -48.749999999999986 -29.75, -48.875 -29.75, -48.875 -29.625000000000004, -49 -29.625000000000004, -49 -29.49999999999999, -49.12500000000001 -29.49999999999999, -49.12500000000001 -29.125, -48.875 -29.125, -48.875 -29.000000000000004, -48.625 -29.000000000000004, -48.625 -28.874999999999996, -48.5 -28.874999999999996, -48.5 -28.75, -48.375 -28.75, -48.375 -28.500000000000004, -48.25 -28.500000000000004, -48.25 -27.875))"
70,Pelotas,SP-AUP4,"POLYGON ((-50.999999999999986 -34.75, -50.999999999999986 -33.75, -50 -33.75, -50 -34.75, -50.75 -34.75, -50.75 -35, -51.25 -35, -51.25 -34.75, -50.999999999999986 -34.75))"
71,Pelotas,SP-AUP3,"POLYGON ((-49.5 -32.75, -49 -32.75, -49 -33.25, -49 -33.75, -49.5 -33.75, -49.5 -34.25, -50 -34.25, -50 -33.75, -50 -33.25, -49.5 -33.25, -49.5 -32.75))"
72,Pelotas,SP-AUP2,"POLYGON ((-47.5 -30.750000000000004, -47.5 -31.750000000000004, -48.00000000000001 -31.750000000000004, -48.00000000000001 -32.25, -48.5 -32.25, -48.5 -33.25, -49 -33.25, -49 -32.75, -49.5 -32.75, -49.5 -31.750000000000004, -49 -31.750000000000004, -49 -31.249999999999996, -48.5 -31.249999999999996, -48.5 -30.750000000000004, -47.5 -30.750000000000004))"
73,Pelotas,SP-AUP5,"POLYGON ((-47 -30.75, -46.499999999999986 -30.750000000000004, -46.499999999999986 -30.25, -46.25 -30.25, -45.999999999999986 -30.25, -45.999999999999986 -29.75, -45.999999999999986 -29.25, -45.5 -29.25, -45.5 -28, -45.25 -28, -45.25 -29.75, -45.5 -29.75, -45.5 -30.5, -45.999999999999986 -30.5, -45.999999999999986 -30.750000000000004, -46.25 -30.750000000000004, -46.25 -31, -46.499999999999986 -31, -46.499999999999986 -31.249999999999996, -46.75 -31.249999999999996, -47 -31.249999999999996, -47 -30.75))"
