Todas as Informações aqui contidas são relativas ao 5 dia util de outubro de 2023. Após essa data podem ter ocorrido mudanças e deslocamentos.;;;;;;;;;;;
DAA 2023 - Amostras de Fluidos;;;;;;;;;;;
Bacia sedimentar;Código do poço (API);Nome do poço (ANP);Tipo de fluido;Profundidade topo (m);Profundidade base (m);Quantidade de amostra;Tipo de container;Volume (L);Data de conclusão do poço;Município/Estado;Depositária
POTIGUAR TERRA;721000759900;1-BRSA-687-RN;ÓLEO;1.935,00;1.938,00;1;Garrafa Vidro Âmbar;1;26/05/2009;CATU/BA;PETROBRAS
RECÔNCAVO TERRA;202400594500;1-BRSA-84-BA;ÓLEO;1.716,70;1.732,00;1;Garrafa Vidro Âmbar;1;19/09/2001;CATU/BA;PETROBRAS
RECÔNCAVO TERRA;202400613300;1-BRSA-378-BA;ÓLEO;486,00;493,00;2;Garrafa Vidro Âmbar;1;09/01/2006;CATU/BA;PETROBRAS
RECÔNCAVO TERRA;202400621400;1-BRSA-502-BA;ÁGUA DE FORMAÇÃO;783,50;783,50;1;Garrafa Vidro Âmbar;1;15/12/2009;CATU/BA;PETROBRAS
RECÔNCAVO TERRA;202400621400;1-BRSA-502-BA;ÓLEO;1.895,00;1.900,00;1;Garrafa Vidro Âmbar;1;15/12/2009;CATU/BA;PETROBRAS
RECÔNCAVO TERRA;202400700600;1-BRSA-1300D-BA;ÓLEO;2.006,00;2.016,40;3;Garrafa Vidro Âmbar;1;26/03/2019;CATU/BA;PETROBRAS
RECÔNCAVO TERRA;202400700600;1-BRSA-1300D-BA;ÓLEO;2.006,00;2.010,00;8;Garrafa Vidro Âmbar;1;26/03/2019;CATU/BA;PETROBRAS
RECÔNCAVO TERRA;202400700800;1-BRSA-1304-BA;ÓLEO;1.680,00;1.684,00;6;Garrafa Vidro Âmbar;1;03/08/2015;CATU/BA;PETROBRAS
RECÔNCAVO TERRA;202400700800;1-BRSA-1304-BA;ÓLEO;1.681,20;1.681,20;1;Garrafa Vidro Âmbar;1;03/08/2015;CATU/BA;PETROBRAS
RECÔNCAVO TERRA;202400703100;1-BRSA-1331D-BA;ÓLEO;1.866,00;1.873,00;2;Garrafa Vidro Âmbar;1;20/04/2016;CATU/BA;PETROBRAS
RECÔNCAVO TERRA;202400703900;1-BRSA-1351D-BA;ÓLEO;2.321,50;2.327,00;17;Garrafa Vidro Âmbar;1;22/03/2019;CATU/BA;PETROBRAS
RECÔNCAVO TERRA;202400703900;1-BRSA-1351D-BA;ÓLEO;2.936,10;2.936,10;2;Garrafa Vidro Âmbar;1;22/03/2019;CATU/BA;PETROBRAS
RECÔNCAVO TERRA;202400703900;1-BRSA-1351D-BA;ÓLEO;2.953,00;2.964,50;8;Garrafa Vidro Âmbar;1;22/03/2019;CATU/BA;PETROBRAS
RECÔNCAVO TERRA;202400703900;1-BRSA-1351D-BA;ÓLEO;2.964,00;2.964,00;6;Garrafa Vidro Âmbar;1;22/03/2019;CATU/BA;PETROBRAS
